,Druid,Purl,Title,Source Id,Catkey,source_id
1381,wv935xc1664,https://purl.stanford.edu/wv935xc1664,For liberty's sake,sul:36105213330124,9505715,36105213330124
1382,ww503tb9524,https://purl.stanford.edu/ww503tb9524,A fallen idol,sul:36105213331247,9531432,36105213331247
1383,ww575rb4807,https://purl.stanford.edu/ww575rb4807,Melchior's dream and other tales,sul:36105213334738,9608956,36105213334738
1384,wx082wy5397,https://purl.stanford.edu/wx082wy5397,Days of yore,sul:36105213326528,9383185,36105213326528
1385,wx114rn7983,https://purl.stanford.edu/wx114rn7983,Noel d'Auvergne : a novel,sul:36105213329068,9450912,36105213329068
1386,wx182pj1178,https://purl.stanford.edu/wx182pj1178,"""Our doctor's"" note-book",sul:36105213334779,9609112,36105213334779
1387,wx920xd3249,https://purl.stanford.edu/wx920xd3249,"Rose Deane, or, Christmas roses",sul:36105213330280,9515720,36105213330280
1388,wy232dh2282,https://purl.stanford.edu/wy232dh2282,Dick Netherby,sul:36105213328318,9436639,36105213328318
1389,wy455mq1251,https://purl.stanford.edu/wy455mq1251,Only a woman crucified,sul:36105213333318,9589128,36105213333318
1390,wy703ky1185,https://purl.stanford.edu/wy703ky1185,"I, too : a novel in two books",sul:36105213321297,9275339,36105213321297
1391,wy838cg9367,https://purl.stanford.edu/wy838cg9367,Where the rail runs now : a story of the coaching days,sul:36105213320109,9263232,36105213320109
1392,wz101yr2860,https://purl.stanford.edu/wz101yr2860,"The chequers : being the natural history of a public-house, set forth in a loafer's diary",sul:36105213332211,9563424,36105213332211
1393,wz127zh5240,https://purl.stanford.edu/wz127zh5240,"The knight and the dragon : a legend of the Hougue Bie de Hambie, in the island of Jersey",sul:36105213323830,9342848,36105213323830
1394,wz168ff6164,https://purl.stanford.edu/wz168ff6164,The outcast,sul:36105213328722,9440268,36105213328722
1395,wz280gs1028,https://purl.stanford.edu/wz280gs1028,"The Irish dove, or, Faults on both sides : a tale",sul:36105213328961,9446784,36105213328961
1396,wz822dz8968,https://purl.stanford.edu/wz822dz8968,"An old London nosegay : gathered from the daybook of Mistress Lovejoy Young, kinswoman by marriage of the Lady Fanshawe",sul:36105213330157,9515030,36105213330157
1397,xb185rj6068,https://purl.stanford.edu/xb185rj6068,Off the reel : stories,sul:36105213336378,9626384,36105213336378
1398,xb187zd4495,https://purl.stanford.edu/xb187zd4495,The Bateman household,sul:36105213328771,9441443,36105213328771
1399,xb839mg7066,https://purl.stanford.edu/xb839mg7066,A passion for gold : the story of a South African mine,sul:36105213322386,9325733,36105213322386
1400,xc014cb4795,https://purl.stanford.edu/xc014cb4795,Idols in the heart : a tale,sul:36105213328243,9428550,36105213328243
1401,xc118rg6817,https://purl.stanford.edu/xc118rg6817,Artist and craftsman,sul:36105213331817,9560767,36105213331817
